algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,1174,0.3646535748972292,0.5007282952192168,0.014753908904262335,0.09138816920455888,0.4838160136286201,0.1062791276335654
crepe,1174,0.775408997581813,0.23047460454507818,0.5073441680437126,0.5196829811855441,1.0,0.3096976373900705
pesto,1174,0.8000257466033078,0.2049390378199837,0.4391786527824659,0.49875699921322936,1.0,0.2561510426814153
pesto_ft,1174,0.8239448897366891,0.1833862256270317,0.6491401886143959,0.6501555363494042,1.0,0.3049214731994894
praat,1174,0.7906588627690508,0.215930150272753,0.59865309990892,0.606739786449496,0.989778534923339,0.7463038374236923
pyin,1174,0.7792074419366716,0.20982917079191374,0.2331546099342905,0.2344076735353015,0.9787052810902896,0.0181873757349121
tcrepe,1174,0.7767610430103958,0.22923563481659276,0.6227330837488741,0.6361022131014301,1.0,0.3089087118117041
tcrepe_ftoth,1174,0.7605185618428811,0.25049250817602275,0.6836155073760203,0.6869459699447471,1.0,0.1060951538795676
tcrepe_ftsp,1174,0.7464307666174966,0.2633271457559153,0.70900796783002,0.7096780295024467,1.0,0.1563675183685188
tcrepe_ftspV,1174,0.7464307666174966,0.2633271457559153,0.7080592239806652,0.7086334208893053,1.0,0.1563675183685188
