algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,160,0.3743117480575655,0.504000999000999,0.014609758630662625,0.07806139052850895,0.63125,0.1128089560744159
crepe,160,0.6493772998551435,0.3509305624930625,0.18360433894804337,0.2192822604273253,0.98125,0.2721067529255279
pesto,15,0.9239265883798609,0.07714285714285714,0.10373668884722116,0.1815319748911162,1.0,0.4491355323340111
pesto_ft,160,0.9386592529958394,0.06336354617604617,0.04031524671403983,0.10384425665566599,1.0,0.5400639950004406
praat,160,0.703468781400328,0.18462977994227994,0.17084596998616347,0.20234798775887466,0.96875,0.679605700071297
pyin,160,0.7550066360864187,0.21381132756132754,0.13950122615886906,0.16319209596575163,0.9875,0.0150855872975043
tcrepe,160,0.7294245379110952,0.2530269036519036,0.14864706180332016,0.17815507056546287,1.0,0.2340726652927652
tcrepe_ftoth,160,0.6016610520387605,0.3633578574203574,0.15151244275693537,0.16840214574267226,0.89375,0.0490501702643191
tcrepe_ftsp,160,0.8044032961114145,0.18223890692640693,0.41530423702840374,0.4439216428913471,0.98125,0.1683947810598302
tcrepe_ftspV,160,0.8044032961114145,0.18223890692640693,0.4044593887080065,0.43456829938922253,0.98125,0.1683947810598302
