algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,232,0.5351889819853048,0.43512369010309954,0.016978878362307714,0.08558434570217754,0.896551724137931,0.129133671527981
crepe,232,0.6693169743423549,0.30834094349595653,0.07551433331962266,0.11592537690272244,0.9741379310344828,0.1900986424343561
pesto,232,0.8656826517555352,0.1271761924391318,0.30100736229476727,0.3149934847261111,1.0,0.2826856341074675
pesto_ft,232,0.8739917702997458,0.12030658471419838,0.22856341452933393,0.24781918815318585,1.0,0.2781516591489736
praat,233,0.6331664083632914,0.20635187900614171,0.1242614598437352,0.1970242077818403,0.9570815450643777,0.3877169273726356
pyin,232,0.7193073136642325,0.24783110216790052,0.0838608001814332,0.09032338297633548,0.9913793103448276,0.0100130688462389
tcrepe,233,0.6537036391020637,0.2740436636850559,0.18600938586375834,0.24446955514450777,0.9699570815450643,0.2004020981311834
tcrepe_ftoth,233,0.7885672545094402,0.16018337470782495,0.2463776027713706,0.3416099972295014,0.9914163090128756,0.0356959347140491
tcrepe_ftsp,232,0.8708940124685551,0.09175652087687917,0.29661058747311475,0.31798259423128117,0.9956896551724138,0.0077610340139167
tcrepe_ftspV,232,0.8708940124685551,0.09175652087687917,0.3000076037679536,0.32101638355948675,0.9956896551724138,0.0077610340139167
