algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,224705,0.49014967323173675,0.5004272775591081,0.0059668894880127755,0.08000393373515798,0.8497941745844552,0.1141533151633747
crepe,145544,0.7809853697928072,0.19642789896286109,0.6138619380202412,0.731286714883766,0.9533886659704282,0.3235447379258965
pesto,224705,0.8432838043308098,0.1611293633987656,0.357844200997415,0.5813955852091427,0.9862886896152734,0.3381268136124218
pesto_ft,224705,0.8724103458401665,0.1345852651462979,0.8813772639392026,0.8953685421529742,0.9863153912908035,0.3539350622370975
praat,224705,0.8578205682301123,0.14013156050208644,0.5597346491697553,0.7158333796667317,0.9782069824881511,0.3984112690790206
pyin,210286,0.8866449443762522,0.1187925335683126,0.5580378973676156,0.6518169192162395,0.9918967501402851,0.0100041910527952
tcrepe,224705,0.792667040313933,0.18629400928250014,0.6111615898748353,0.7273237156985751,0.9549765247769297,0.312609835771414
tcrepe_ftoth,224705,0.8331086296053015,0.15179539011442902,0.7905749390617075,0.820701726332332,0.9666273558665807,0.0478859023405955
tcrepe_ftsp,224705,0.8808064945336488,0.11212811456090964,0.8943665641072077,0.9066727951884128,0.9721991054938698,0.2558665850987813
tcrepe_ftspV,224705,0.8808064945336488,0.11212811456090964,0.8967920947828428,0.9079783973234794,0.9721991054938698,0.2558665850987813
