algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,347,0.510343304435526,0.4955493931300719,0.005246343033783841,0.08126686190007168,0.8097982708933718,0.1066525552315631
crepe,347,0.7042896277803619,0.29841264102664783,0.2866800954639444,0.32025113579747394,0.9971181556195965,0.1339385353014164
pesto,347,0.7206950079361615,0.2868587284421027,0.15121199894085205,0.19610799252121938,1.0,0.1816006717409012
pesto_ft,347,0.788653249378845,0.21813912173553812,0.093755289861611,0.1084499016353779,1.0,0.2207638312305936
praat,347,0.7021621478405716,0.31058444295698684,0.2273845650714087,0.2362772107590951,0.9913544668587896,0.6120092270190941
pyin,347,0.7289529128015863,0.26340594027189923,0.09283650274092341,0.09717805585773268,0.9942363112391931,0.0100002101542638
tcrepe,347,0.7012451284836912,0.301200840141028,0.19381561082793008,0.2261248196610175,0.9971181556195965,0.1339981852230705
tcrepe_ftoth,347,0.7861780544995445,0.2175750798294932,0.29409092014215493,0.30073366509950983,1.0,0.049368465178716
tcrepe_ftsp,347,0.7421183796304149,0.2636019463346937,0.278758398595221,0.2852941522489481,1.0,0.0934327905379718
tcrepe_ftspV,347,0.7421183796304149,0.2636019463346937,0.2767924295867879,0.28374566639806653,1.0,0.0934327905379718
