algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,2282,0.697560338685424,0.17384199682909363,0.5764678347869144,0.615459991854574,0.8829973707274321,0.2825590401887893
crepe,5,0.7435268969525263,0.17274540867218213,0.48767677555091743,0.5632869171255899,1.0,0.2651440501213074
pesto,2244,0.6953099474850775,0.1841328805883696,0.5761639064505039,0.6976406183386767,0.8983957219251337,0.5257962161666775
pesto_ft,2282,0.7357554421304456,0.13946957904149654,0.7583776288403348,0.8039101625980128,0.9382120946538125,0.5683412372389945
pesto_ftoth,2273,0.7357799039969374,0.13964549134420243,0.01671536536195095,0.18961985152614705,0.9384073911130665,0.5686539475157362
praat,2282,0.7329058331086429,0.17402932735281557,0.5415448822024611,0.6319289020983828,0.8803680981595092,0.8047833001920569
pyin,2213,0.7452155737768666,0.21410407603662934,0.562038242718557,0.6136101220190453,0.8757342973339358,0.0358282367587679
tcrepe,2282,0.7251508889882656,0.20695764314515633,0.6881281760070498,0.7400031692762752,0.8759859772129711,0.5233933329582214
tcrepe_ftoth,2282,0.7567183306641723,0.18045666240417732,0.6857238919389993,0.7405739452331688,0.9079754601226994,0.0754404515027999
tcrepe_ftsp,2282,0.8000099653077918,0.1864832135045656,0.734004056386135,0.7806478073602086,0.9522348816827344,0.2307572066783905
tcrepe_ftspV,2277,0.8002734147792773,0.18670702912428086,0.7384416411359527,0.7779221075761282,0.9521299956082565,0.2309753745794296
