algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,164,0.5198240313952882,0.4707475754309295,0.01512334053000372,0.09306691251989381,0.9146341463414634,0.1809883378446102
crepe,164,0.7484751757005996,0.2497610765602778,0.2833880914761932,0.3080593959375104,1.0,0.2809945344924927
pesto,132,0.9302561488039778,0.07062872724290345,0.422009274571182,0.46898768741476343,1.0,0.531615441324912
pesto_ft,164,0.9317535641759231,0.06827516391117859,0.2830281115572959,0.30949747653830895,1.0,0.6394925116580685
praat,164,0.8211370483259031,0.1577678289562687,0.45111312248645624,0.516324213949384,1.0,0.4840061178113841
pyin,164,0.8473499195225502,0.1536883971362439,0.35434532115103134,0.36027858358940806,1.0,0.0100554812581126
tcrepe,164,0.7922416083463554,0.19953296426794492,0.5305899910188114,0.5621964925549805,1.0,0.2765105962753296
tcrepe_ftoth,164,0.8045240053997214,0.18503745430226942,0.5192511028886054,0.5418676650217334,1.0,0.0112649369984865
tcrepe_ftsp,164,0.8761135059375419,0.11617875847704598,0.4746377663903823,0.4872117089053998,1.0,0.1749804615974426
tcrepe_ftspV,164,0.8761135059375419,0.11617875847704598,0.4787664859184529,0.48990329886508854,1.0,0.1749804615974426
