algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,1283,0.8800124834178277,0.11853840126279616,0.7235600369152074,0.7457586037846459,0.9968823070927514,0.1850156232714653
crepe,1280,0.878985212546137,0.11937313897595851,0.7703706003704289,0.8298161912594633,0.99140625,0.5025836825370789
pesto,1283,0.9438872604090068,0.0573316148476993,0.29188456662859547,0.6151739697886096,0.9992205767731879,0.5076292180097878
pesto_ft,1283,0.9521863081133584,0.04946143286969832,0.9053048850954608,0.9187485898249521,1.0,0.528898293498918
praat,1283,0.9241063988877504,0.07559290186096318,0.7958653842910639,0.8602045580384527,0.9961028838659393,0.7337276640844828
pyin,1282,0.8911746526926426,0.10150760629508014,0.5304243184811087,0.6597194513373434,0.9953198127925117,0.0229442191246385
tcrepe,1283,0.8836625471466484,0.11491181731845235,0.8217936120994059,0.8784483331988352,0.9922057677318784,0.5062772631645203
tcrepe_ftoth,1283,0.7832405691202181,0.2118429332557949,0.7661729841099905,0.8259028743378894,0.9844115354637568,0.0827093347907066
tcrepe_ftsp,1283,0.9276019220528423,0.07415100805819279,0.8880123605033393,0.9056296994535209,0.9820732657833203,0.0002290378106408
tcrepe_ftspV,1283,0.9276019220528423,0.07415100805819279,0.8692804954882521,0.882697921428015,0.9820732657833203,0.0002290378106408
