algo,count,Recall,False alarm,Pitch acc,Chroma acc,Voc. recall,threshold
basic,571,0.8111040359876177,0.044339072181910834,0.47021141931604044,0.6985070632089173,0.978984238178634,0.2350587317700563
crepe,571,0.7900553272706761,0.11269492136937168,0.4212611007873101,0.6181695100583868,0.9229422066549913,0.5646291375160217
pesto,504,0.8460283917242822,0.07546530706468595,0.5205557491881069,0.9369510589896807,0.9781746031746031,0.490078419805545
pesto_ft,570,0.8669956250319395,0.03993025355439543,0.9113727388884623,0.9258292608717361,0.987719298245614,0.5855451993955098
praat,571,0.826851555031614,0.05718185104919807,0.4919168729953229,0.8075199665145412,0.9614711033274956,0.8242045616494419
pyin,563,0.7754109195742007,0.10104594064651584,0.35896011324968136,0.5144908143617472,0.911190053285968,0.0203176285563605
tcrepe,571,0.8380163771596933,0.07360800603877977,0.635292058792682,0.8897789757152779,0.9352014010507881,0.4885309636592865
tcrepe_ftoth,571,0.8378570712952726,0.06331216485498682,0.7212997208171293,0.7559511914445337,0.9614711033274956,0.0536471866071224
tcrepe_ftsp,571,0.9034509030726183,0.034715292992945485,0.9422964655109632,0.9588759243235548,0.9754816112084063,0.7186568379402161
tcrepe_ftspV,571,0.9046620567837179,0.03353776511019131,0.9141977022115322,0.9231147184817179,0.978984238178634,0.7086588144302368
